GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mathutil-junit,com.hmyndooo.mathutil.main,MathutilJunit,9,0,0,0,3,0,2,0,2,0
mathutil-junit,com.hmyndooo.mathutil.core,MathUtil,3,25,1,7,1,5,2,4,1,1
